name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
SS109,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS110,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS111,0,0.5,-1,1,0,0.499995,-0.99999,0.99999
SS112,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
SS113,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
SS114,0,0.5,-1,1,0,0.499995,-0.99999,0.99999
SS115,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS116,0,0.5,-1,1,0,0.499995,-0.99999,0.99999
SS117,0,0.5,-1,1,0,0.499995,-0.99999,0.99999
SS118,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS119,0,0.5,-1,1,0,0.499995,-0.99999,0.99999
SS120,0,0.5,-1,1,0,0.499995,-0.999989,0.999989
SS121,0,0.5,-1,1,0,0.499995,-0.999989,0.999989
SS122,0,0.5,-1,1,0,0.499993,-0.999987,0.999987
SS123,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS124,0,0.5,-1,1,0,0.499995,-0.999989,0.999989
SS125,0,0.5,-1,1,0,0.499995,-0.999989,0.999989
SS126,0,0.5,-1,1,0,0.499994,-0.999989,0.999989
SS127,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
